"","x","y","shooting_org","made","play_id","play_description","classes","show_highlight"
"92","91.0","52.0","164","true","2620721869","'2nd 09:27:00 : made by Hassan Diarra(UConn) 40-56'","'period_2 player_771508262 team_164'","false"
"93","11.0","44.0","559","true","2620721872","'2nd 09:13:00 : made by Zach Edey(Purdue) 42-56'","'period_2 player_771508275 team_559'","false"
"94","78.0","89.0","164","true","2620721874","'2nd 08:39:00 : made by Stephon Castle(UConn) 42-59'","'period_2 player_771508269 team_164'","false"
"95","26.0","40.0","559","false","2620721876","'2nd 08:21:00 : missed by Braden Smith(Purdue) 42-59'","'period_2 player_771508282 team_559'","false"
"96","95.0","6.0","164","false","2620721878","'2nd 08:04:00 : missed by Stephon Castle(UConn) 42-59'","'period_2 player_771508269 team_164'","false"
"97","91.0","55.0","164","false","2620721891","'2nd 07:43:00 : missed by Samson Johnson(UConn) 44-59'","'period_2 player_771508263 team_164'","false"
"98","7.0","51.0","559","true","2620721893","'2nd 07:31:00 : made by Zach Edey(Purdue) 46-59'","'period_2 player_771508275 team_559'","false"
"99","95.0","52.0","164","true","2620721895","'2nd 07:04:00 : made by Alex Karaban(UConn) 46-61'","'period_2 player_771508264 team_164'","false"
"100","69.0","34.0","164","false","2620721901","'2nd 06:20:00 : missed by Tristen Newton(UConn) 46-61'","'period_2 player_771508260 team_164'","false"
"101","89.0","45.0","164","true","2620721903","'2nd 06:00:00 : made by Stephon Castle(UConn) 46-63'","'period_2 player_771508269 team_164'","false"
"102","32.0","46.0","559","false","2620721905","'2nd 05:41:00 : missed by Fletcher Loyer(Purdue) 46-63'","'period_2 player_771508281 team_559'","false"
"103","81.0","51.0","164","true","2620721918","'2nd 05:12:00 : made by Cam Spencer(UConn) 47-65'","'period_2 player_771508259 team_164'","false"
"104","10.0","48.0","559","true","2620721919","'2nd 04:53:00 : made by Zach Edey(Purdue) 49-65'","'period_2 player_771508275 team_559'","false"
"105","70.0","64.0","164","false","2620721921","'2nd 04:37:00 : missed by Alex Karaban(UConn) 49-65'","'period_2 player_771508264 team_164'","false"
"106","15.0","41.0","559","false","2620721923","'2nd 04:21:00 : missed by Zach Edey(Purdue) 49-65'","'period_2 player_771508275 team_559'","false"
"107","7.0","50.0","559","true","2620721943","'2nd 03:29:00 : made by Zach Edey(Purdue) 52-67'","'period_2 player_771508275 team_559'","false"
"108","32.0","25.0","559","false","2620721945","'2nd 02:54:00 : missed by Lance Jones(Purdue) 52-67'","'period_2 player_771508273 team_559'","false"
"109","7.0","47.0","559","true","2620721948","'2nd 02:47:00 : made by Lance Jones(Purdue) 54-67'","'period_2 player_771508273 team_559'","false"
"110","7.0","47.0","559","true","2620721960","'2nd 02:32:00 : made by Zach Edey(Purdue) 56-69'","'period_2 player_771508275 team_559'","false"
"111","85.0","55.0","164","true","2620721963","'2nd 01:56:00 : made by Donovan Clingan(UConn) 56-71'","'period_2 player_771508265 team_164'","false"
"112","10.0","48.0","559","false","2620721965","'2nd 01:45:00 : missed by Braden Smith(Purdue) 56-71'","'period_2 player_771508282 team_559'","false"
"113","6.0","50.0","559","true","2620721967","'2nd 01:42:00 : made by Zach Edey(Purdue) 58-71'","'period_2 player_771508275 team_559'","false"
"114","7.0","48.0","559","true","2620721972","'2nd 01:19:00 : made by Zach Edey(Purdue) 60-73'","'period_2 player_771508275 team_559'","false"
"115","91.0","48.0","164","true","2620721974","'2nd 00:44:00 : made by Donovan Clingan(UConn) 60-75'","'period_2 player_771508265 team_164'","false"
"116","31.0","71.0","559","false","2620721976","'2nd 00:36:00 : missed by Braden Smith(Purdue) 60-75'","'period_2 player_771508282 team_559'","false"
